sample.id,media,condition,sample,time,pathogen,CFU.g,log.CFU
Peat-p1,Peat,Planted,Contaminated,Initial,Listeria,1666666.667,6.22184901
Peat-p2,Peat,Planted,Contaminated,Initial,Listeria,170212.766,5.230994681
Peat-p3,Peat,Planted,Contaminated,Initial,Listeria,553571.4286,5.743174451
Peat-bu1,Peat,Unplanted,Blank,Initial,Listeria,405.4054054,2.608959476
Peat-bu2,Peat,Unplanted,Blank,Initial,Listeria,434.7826087,2.639269894
Peat-bp1,Peat,Planted,Blank,Initial,Listeria,350.877193,2.546391119
Peat-bp2,Peat,Planted,Blank,Initial,Listeria,670.7317073,2.827195849
Bios-u1,Biostrate,Unplanted,Contaminated,Harvest,Listeria,24666.66667,4.392128071
Bios-u2,Biostrate,Unplanted,Contaminated,Harvest,Listeria,10454.54545,4.019346694
Bios-u3,Biostrate,Unplanted,Contaminated,Harvest,Listeria,46521.73913,4.667665277
Bios-p1,Biostrate,Planted,Contaminated,Harvest,Listeria,4242424.242,6.627614198
Bios-p2,Biostrate,Planted,Contaminated,Harvest,Listeria,2000000,6.301030213
Bios-p3,Biostrate,Planted,Contaminated,Harvest,Listeria,2250000,6.352182711
Bios-m1,Biostrate,Microgreen,Contaminated,Harvest,Listeria,2080000,6.318063544
Bios-m2,Biostrate,Microgreen,Contaminated,Harvest,Listeria,844.1558442,2.926936799
Bios-m3,Biostrate,Microgreen,Contaminated,Harvest,Listeria,2449.567723,3.389266709
Bios-bu1,Biostrate,Unplanted,Blank,Harvest,Listeria,17142.85714,4.234108539
Bios-bu2,Biostrate,Unplanted,Blank,Harvest,Listeria,14285.71429,4.15493236
Bios-bp1,Biostrate,Planted,Blank,Harvest,Listeria,TNTC,TNTC
Bios-bp2,Biostrate,Planted,Blank,Harvest,Listeria,TNTC,TNTC
Bios-bm1,Biostrate,Microgreen,Blank,Harvest,Listeria,0,0
Bios-bm2,Biostrate,Microgreen,Blank,Harvest,Listeria,0,0
Peat-u1,Peat,Unplanted,Contaminated,Harvest,Listeria,0,0
Peat-u2,Peat,Unplanted,Contaminated,Harvest,Listeria,256.4102564,2.410625847
Peat-u3,Peat,Unplanted,Contaminated,Harvest,Listeria,147.0588235,2.170434294
Peat-p1,Peat,Planted,Contaminated,Harvest,Listeria,2950.819672,3.470089823
Peat-p2,Peat,Planted,Contaminated,Harvest,Listeria,137931.0345,5.139665142
Peat-p3,Peat,Planted,Contaminated,Harvest,Listeria,816.3265306,2.912395596
Peat-m1,Peat,Microgreen,Contaminated,Harvest,Listeria,36.49635036,1.573988999
Peat-m2,Peat,Microgreen,Contaminated,Harvest,Listeria,198.4126984,2.29975281
Peat-m3,Peat,Microgreen,Contaminated,Harvest,Listeria,833.3333333,2.921339595
Peat-bu1,Peat,Unplanted,Blank,Harvest,Listeria,166.6666667,2.22444673
Peat-bu2,Peat,Unplanted,Blank,Harvest,Listeria,0,0
Peat-bp1,Peat,Planted,Blank,Harvest,Listeria,0,0
Peat-bp2,Peat,Planted,Blank,Harvest,Listeria,103.0927835,2.017420622
Peat-bm1,Peat,Microgreen,Blank,Harvest,Listeria,937.5,2.972434277
Peat-bm2,Peat,Microgreen,Blank,Harvest,Listeria,TNTC,TNTC
